workerid,rt,trial_type,stim_type,stim_part,stim_determiner,trialNum,stim_color,stim_prevalence,response,stim_category
0,12403,truth_conditions,bare,scales,generic,0,red,55,False,blins
0,13049,truth_conditions,nondistinctive,stripes,generic,1,silver,5,False,frams
0,8791,truth_conditions,danger-distinct,spots,generic,2,copper,5,False,glippets
0,5566,truth_conditions,nondistinctive,ears,generic,3,pink,15,False,elleps
0,5672,truth_conditions,danger-distinct,ears,generic,4,blue,45,False,cheebas
0,5055,truth_conditions,bare,legs,generic,5,yellow,95,False,ludinos
0,4601,truth_conditions,bare,shells,generic,6,orange,15,False,luzaks
0,5727,truth_conditions,danger-distinct,shells,generic,7,purple,85,False,javs
0,5078,truth_conditions,bare,feathers,generic,8,purple,25,False,lorches
0,4440,truth_conditions,danger-distinct,scales,generic,9,blue,15,False,reesles
0,3908,truth_conditions,bare,teeth,generic,10,blue,85,False,thups
0,4667,truth_conditions,danger-distinct,tails,generic,11,green,95,False,trufts
0,4213,truth_conditions,danger-distinct,fur,generic,12,silver,65,False,morseths
0,4175,truth_conditions,nondistinctive,fur,generic,13,copper,65,False,kweps
0,3359,truth_conditions,bare,stripes,generic,14,copper,35,False,mooks
0,4102,truth_conditions,nondistinctive,tails,generic,15,orange,35,False,zorbs
0,3840,truth_conditions,bare,ears,generic,16,orange,5,False,kazzes
0,4823,truth_conditions,danger-distinct,stripes,generic,17,gold,55,False,daiths
0,4536,truth_conditions,nondistinctive,teeth,generic,18,green,45,False,zoovs
0,4637,truth_conditions,nondistinctive,spots,generic,19,gold,95,False,stups
0,4702,truth_conditions,danger-distinct,feathers,generic,20,red,25,False,noobs
0,4080,truth_conditions,bare,fur,generic,21,yellow,75,False,ollers
0,5470,truth_conditions,nondistinctive,legs,generic,22,silver,55,False,ackles
0,3433,truth_conditions,bare,spots,generic,23,red,65,False,sapers
0,4034,truth_conditions,danger-distinct,teeth,generic,24,pink,35,False,krivels
0,3927,truth_conditions,nondistinctive,shells,generic,25,green,85,False,moxes
0,4331,truth_conditions,danger-distinct,legs,generic,26,pink,75,False,feps
0,4982,truth_conditions,nondistinctive,feathers,generic,27,gold,75,False,plovs
0,5290,truth_conditions,nondistinctive,scales,generic,28,yellow,25,False,dorbs
0,4209,truth_conditions,bare,tails,generic,29,purple,45,False,taifels
