workerid,rt,trial_type,stim_type,stim_property,stim_determiner,trialNum,stim_prevalence,trial_num,response,stim_category
0,9603,truth_conditions,accidental,swollen skin,generic,0,50,NA,False,ollers
0,5235,truth_conditions,accidental,broken tails,generic,1,30,NA,False,ludinos
0,2151,truth_conditions,accidental,rotting shells,generic,2,70,NA,True,ackles
0,2416,truth_conditions,accidental,itchy tails,generic,3,50,NA,False,trufts
0,4126,truth_conditions,accidental,infected ears,generic,4,10,NA,False,morseths
0,1384,truth_conditions,accidental,infected scales,generic,5,30,NA,False,elleps
0,1310,truth_conditions,accidental,rotting teeth,generic,6,10,NA,False,sapers
0,3410,truth_conditions,accidental,muddy fur,generic,7,50,NA,True,reesles
0,1360,truth_conditions,accidental,swollen ears,generic,8,70,NA,True,stups
0,1656,truth_conditions,accidental,muddy feathers,generic,9,50,NA,True,blins
0,1230,truth_conditions,accidental,cracked shells,generic,10,70,NA,True,frams
0,1408,truth_conditions,accidental,sore teeth,generic,11,30,NA,False,zorbs
0,1145,truth_conditions,accidental,itchy skin,generic,12,10,NA,False,kweps
0,1869,truth_conditions,accidental,broken legs,generic,13,90,NA,True,lorches
0,1591,truth_conditions,accidental,sore legs,generic,14,30,NA,False,feps
0,1319,truth_conditions,accidental,fungus-covered scales,generic,15,10,NA,False,moxes
0,1656,truth_conditions,accidental,fungus-covered claws,generic,16,90,NA,True,daiths
0,1375,truth_conditions,accidental,wet fur,generic,17,90,NA,True,zoovs
0,1336,truth_conditions,accidental,wet feathers,generic,18,70,NA,True,taifels
0,1231,truth_conditions,accidental,cracked claws,generic,19,90,NA,True,krivels
1,16697,truth_conditions,accidental,cracked shells,generic,0,30,NA,False,trufts
1,5980,truth_conditions,accidental,fungus-covered scales,generic,1,10,NA,False,reesles
1,5032,truth_conditions,accidental,wet feathers,generic,2,10,NA,False,lorches
1,3607,truth_conditions,accidental,sore legs,generic,3,50,NA,False,morseths
1,4832,truth_conditions,accidental,itchy skin,generic,4,70,NA,False,ackles
1,1978,truth_conditions,accidental,fungus-covered claws,generic,5,30,NA,False,feps
1,2016,truth_conditions,accidental,muddy feathers,generic,6,10,NA,False,blins
1,5064,truth_conditions,accidental,broken tails,generic,7,70,NA,False,mooks
1,2293,truth_conditions,accidental,swollen ears,generic,8,10,NA,False,luzaks
1,3027,truth_conditions,accidental,muddy fur,generic,9,90,NA,True,taifels
1,3586,truth_conditions,accidental,itchy tails,generic,10,90,NA,True,noobs
1,2274,truth_conditions,accidental,infected scales,generic,11,50,NA,False,kazzes
1,2324,truth_conditions,accidental,wet fur,generic,12,30,NA,False,stups
1,1590,truth_conditions,accidental,swollen skin,generic,13,50,NA,False,thups
1,1909,truth_conditions,accidental,cracked claws,generic,14,90,NA,True,elleps
1,1781,truth_conditions,accidental,sore teeth,generic,15,50,NA,False,cheebas
1,3119,truth_conditions,accidental,rotting teeth,generic,16,70,NA,False,dorbs
1,2963,truth_conditions,accidental,broken legs,generic,17,70,NA,False,kweps
1,2034,truth_conditions,accidental,rotting shells,generic,18,30,NA,False,sapers
1,2470,truth_conditions,accidental,infected ears,generic,19,90,NA,True,plovs
2,8272,truth_conditions,accidental,muddy fur,generic,0,10,NA,False,kweps
2,7614,truth_conditions,accidental,rotting teeth,generic,1,50,NA,True,lorches
2,4587,truth_conditions,accidental,cracked shells,generic,2,90,NA,True,noobs
2,3504,truth_conditions,accidental,broken tails,generic,3,90,NA,True,luzaks
2,4351,truth_conditions,accidental,sore teeth,generic,4,50,NA,True,morseths
2,2865,truth_conditions,accidental,infected scales,generic,5,30,NA,False,ackles
2,3356,truth_conditions,accidental,fungus-covered scales,generic,6,30,NA,False,zoovs
2,3879,truth_conditions,accidental,wet fur,generic,7,30,NA,False,zorbs
2,2897,truth_conditions,accidental,infected ears,generic,8,10,NA,False,dorbs
2,5071,truth_conditions,accidental,rotting shells,generic,9,50,NA,True,feps
2,3037,truth_conditions,accidental,itchy tails,generic,10,70,NA,True,mooks
2,2986,truth_conditions,accidental,cracked claws,generic,11,90,NA,True,daiths
2,3448,truth_conditions,accidental,fungus-covered claws,generic,12,70,NA,True,javs
2,3937,truth_conditions,accidental,itchy skin,generic,13,70,NA,True,ollers
2,4872,truth_conditions,accidental,swollen ears,generic,14,10,NA,False,cheebas
2,2674,truth_conditions,accidental,swollen skin,generic,15,30,NA,False,ludinos
2,3637,truth_conditions,accidental,broken legs,generic,16,10,NA,False,blins
2,2673,truth_conditions,accidental,sore legs,generic,17,50,NA,True,plovs
2,2879,truth_conditions,accidental,muddy feathers,generic,18,90,NA,True,glippets
2,3067,truth_conditions,accidental,wet feathers,generic,19,70,NA,True,reesles
3,16974,implied_prevalence,accidental,fungus-covered scales,generic,NA,NA,0,99,noobs
3,10174,implied_prevalence,accidental,cracked claws,generic,NA,NA,1,99,luzaks
3,9049,implied_prevalence,accidental,itchy skin,generic,NA,NA,2,90,sapers
3,16865,implied_prevalence,accidental,infected ears,generic,NA,NA,3,90,ackles
3,8982,implied_prevalence,accidental,itchy tails,generic,NA,NA,4,90,stups
3,6991,implied_prevalence,accidental,sore teeth,generic,NA,NA,5,90,ollers
3,13757,implied_prevalence,accidental,broken legs,generic,NA,NA,6,90,taifels
3,5414,implied_prevalence,accidental,sore legs,generic,NA,NA,7,90,kweps
3,3555,implied_prevalence,accidental,broken tails,generic,NA,NA,8,90,krivels
3,7169,implied_prevalence,accidental,infected scales,generic,NA,NA,9,90,trufts
3,4571,implied_prevalence,accidental,swollen ears,generic,NA,NA,10,90,reesles
3,3792,implied_prevalence,accidental,cracked shells,generic,NA,NA,11,90,daiths
3,2983,implied_prevalence,accidental,swollen skin,generic,NA,NA,12,90,moxes
3,4412,implied_prevalence,accidental,wet fur,generic,NA,NA,13,90,cheebas
3,4794,implied_prevalence,accidental,fungus-covered claws,generic,NA,NA,14,90,zorbs
3,4647,implied_prevalence,accidental,rotting shells,generic,NA,NA,15,90,blins
3,5194,implied_prevalence,accidental,muddy feathers,generic,NA,NA,16,90,mooks
3,3472,implied_prevalence,accidental,rotting teeth,generic,NA,NA,17,90,dorbs
3,3315,implied_prevalence,accidental,wet feathers,generic,NA,NA,18,90,elleps
3,3292,implied_prevalence,accidental,muddy fur,generic,NA,NA,19,90,glippets
4,6691,implied_prevalence,accidental,rotting shells,generic,NA,NA,0,20,reesles
4,6578,implied_prevalence,accidental,cracked claws,generic,NA,NA,1,10,dorbs
4,3666,implied_prevalence,accidental,wet feathers,generic,NA,NA,2,30,zorbs
4,4648,implied_prevalence,accidental,muddy fur,generic,NA,NA,3,25,thups
4,4127,implied_prevalence,accidental,wet fur,generic,NA,NA,4,30,lorches
4,3384,implied_prevalence,accidental,swollen skin,generic,NA,NA,5,5,ackles
4,5152,implied_prevalence,accidental,broken tails,generic,NA,NA,6,2,moxes
4,4999,implied_prevalence,accidental,sore teeth,generic,NA,NA,7,8,cheebas
4,4454,implied_prevalence,accidental,muddy feathers,generic,NA,NA,8,20,sapers
4,3536,implied_prevalence,accidental,rotting teeth,generic,NA,NA,9,5,ludinos
4,4072,implied_prevalence,accidental,broken legs,generic,NA,NA,10,1,stups
4,3511,implied_prevalence,accidental,infected scales,generic,NA,NA,11,3,kweps
4,3808,implied_prevalence,accidental,cracked shells,generic,NA,NA,12,6,mooks
4,3222,implied_prevalence,accidental,itchy tails,generic,NA,NA,13,10,frams
4,3752,implied_prevalence,accidental,sore legs,generic,NA,NA,14,25,morseths
4,6368,implied_prevalence,accidental,fungus-covered claws,generic,NA,NA,15,25,javs
4,3463,implied_prevalence,accidental,itchy skin,generic,NA,NA,16,15,luzaks
4,3104,implied_prevalence,accidental,infected ears,generic,NA,NA,17,2,plovs
4,4447,implied_prevalence,accidental,swollen ears,generic,NA,NA,18,8,noobs
4,4811,implied_prevalence,accidental,fungus-covered scales,generic,NA,NA,19,15,trufts
5,10349,implied_prevalence,accidental,broken legs,generic,NA,NA,0,100,ackles
5,4159,implied_prevalence,accidental,sore teeth,generic,NA,NA,1,100,taifels
5,4679,implied_prevalence,accidental,fungus-covered claws,generic,NA,NA,2,100,luzaks
5,5031,implied_prevalence,accidental,fungus-covered scales,generic,NA,NA,3,90,mooks
5,4144,implied_prevalence,accidental,infected ears,generic,NA,NA,4,50,reesles
5,4857,implied_prevalence,accidental,cracked shells,generic,NA,NA,5,50,trufts
5,3776,implied_prevalence,accidental,muddy fur,generic,NA,NA,6,80,morseths
5,3703,implied_prevalence,accidental,wet feathers,generic,NA,NA,7,30,krivels
5,3329,implied_prevalence,accidental,infected scales,generic,NA,NA,8,15,kweps
5,3064,implied_prevalence,accidental,rotting shells,generic,NA,NA,9,5,noobs
5,4175,implied_prevalence,accidental,muddy feathers,generic,NA,NA,10,75,blins
5,4232,implied_prevalence,accidental,cracked claws,generic,NA,NA,11,30,feps
5,3713,implied_prevalence,accidental,broken tails,generic,NA,NA,12,10,zoovs
5,3119,implied_prevalence,accidental,rotting teeth,generic,NA,NA,13,25,kazzes
5,4472,implied_prevalence,accidental,wet fur,generic,NA,NA,14,80,ludinos
5,3369,implied_prevalence,accidental,itchy tails,generic,NA,NA,15,5,lorches
5,3471,implied_prevalence,accidental,swollen ears,generic,NA,NA,16,7,sapers
5,4248,implied_prevalence,accidental,itchy skin,generic,NA,NA,17,65,cheebas
5,3593,implied_prevalence,accidental,sore legs,generic,NA,NA,18,15,dorbs
5,3680,implied_prevalence,accidental,swollen skin,generic,NA,NA,19,30,moxes
6,14403,truth_conditions,accidental,cracked shells,generic,0,90,NA,True,kazzes
6,5141,truth_conditions,accidental,muddy feathers,generic,1,30,NA,False,sapers
6,4137,truth_conditions,accidental,swollen skin,generic,2,70,NA,True,morseths
6,4760,truth_conditions,accidental,rotting shells,generic,3,50,NA,False,ludinos
6,3856,truth_conditions,accidental,fungus-covered scales,generic,4,50,NA,False,zorbs
6,3935,truth_conditions,accidental,swollen ears,generic,5,30,NA,False,daiths
6,3753,truth_conditions,accidental,cracked claws,generic,6,90,NA,True,frams
6,2895,truth_conditions,accidental,itchy skin,generic,7,30,NA,False,stups
6,3455,truth_conditions,accidental,broken legs,generic,8,70,NA,True,cheebas
6,3400,truth_conditions,accidental,broken tails,generic,9,50,NA,False,taifels
6,3720,truth_conditions,accidental,sore legs,generic,10,90,NA,True,reesles
6,3137,truth_conditions,accidental,sore teeth,generic,11,10,NA,False,javs
6,3184,truth_conditions,accidental,fungus-covered claws,generic,12,70,NA,True,glippets
6,3288,truth_conditions,accidental,muddy fur,generic,13,70,NA,True,luzaks
6,4576,truth_conditions,accidental,rotting teeth,generic,14,50,NA,True,blins
6,5033,truth_conditions,accidental,wet fur,generic,15,30,NA,False,noobs
6,2384,truth_conditions,accidental,itchy tails,generic,16,90,NA,True,plovs
6,2767,truth_conditions,accidental,infected ears,generic,17,10,NA,False,elleps
6,2271,truth_conditions,accidental,infected scales,generic,18,10,NA,False,moxes
6,3543,truth_conditions,accidental,wet feathers,generic,19,10,NA,False,zoovs
7,7409,implied_prevalence,accidental,itchy tails,generic,NA,NA,0,60,dorbs
7,7646,implied_prevalence,accidental,fungus-covered claws,generic,NA,NA,1,10,cheebas
7,7572,implied_prevalence,accidental,wet feathers,generic,NA,NA,2,60,javs
7,3839,implied_prevalence,accidental,infected scales,generic,NA,NA,3,20,ollers
7,3183,implied_prevalence,accidental,itchy skin,generic,NA,NA,4,90,krivels
7,4204,implied_prevalence,accidental,rotting teeth,generic,NA,NA,5,90,trufts
7,3296,implied_prevalence,accidental,infected ears,generic,NA,NA,6,85,kweps
7,3744,implied_prevalence,accidental,muddy fur,generic,NA,NA,7,15,ackles
7,3929,implied_prevalence,accidental,broken tails,generic,NA,NA,8,20,reesles
7,3364,implied_prevalence,accidental,swollen skin,generic,NA,NA,9,50,ludinos
7,4004,implied_prevalence,accidental,broken legs,generic,NA,NA,10,45,frams
7,5540,implied_prevalence,accidental,cracked claws,generic,NA,NA,11,35,taifels
7,4763,implied_prevalence,accidental,wet fur,generic,NA,NA,12,80,noobs
7,4875,implied_prevalence,accidental,fungus-covered scales,generic,NA,NA,13,85,luzaks
7,11350,implied_prevalence,accidental,cracked shells,generic,NA,NA,14,25,mooks
7,5009,implied_prevalence,accidental,rotting shells,generic,NA,NA,15,45,sapers
7,20690,implied_prevalence,accidental,muddy feathers,generic,NA,NA,16,70,feps
