workerid,rt,trial_type,stim_type,trial_num,response0,trial_prompt,stim_category0,stim_color,stim_part
0,14221,prior_elicitation,danger-distinct,0,5,catprop,moxes,green,shells
0,6011,prior_elicitation,nondistinctive,1,10,catprop,mooks,copper,stripes
0,4966,prior_elicitation,nondistinctive,2,10,catprop,stups,gold,spots
0,6750,prior_elicitation,nondistinctive,3,10,catprop,sapers,red,spots
0,7199,prior_elicitation,bare,4,50,catprop,zoovs,green,teeth
0,3764,prior_elicitation,bare,5,50,catprop,elleps,pink,ears
0,2008,prior_elicitation,bare,6,100,catprop,zorbs,orange,tails
0,4047,prior_elicitation,nondistinctive,7,10,catprop,kazzes,orange,ears
0,2850,prior_elicitation,bare,8,100,catprop,blins,red,scales
0,4602,prior_elicitation,danger-distinct,9,5,catprop,plovs,gold,feathers
0,2116,prior_elicitation,danger-distinct,10,5,catprop,ackles,silver,legs
0,2994,prior_elicitation,bare,11,100,catprop,cheebas,blue,ears
0,1726,prior_elicitation,bare,12,100,catprop,dorbs,yellow,scales
0,4553,prior_elicitation,nondistinctive,13,15,catprop,thups,blue,teeth
0,4291,prior_elicitation,danger-distinct,14,5,catprop,morseths,silver,fur
0,2712,prior_elicitation,bare,15,100,catprop,krivels,pink,teeth
0,3990,prior_elicitation,nondistinctive,16,10,catprop,lorches,purple,feathers
0,3158,prior_elicitation,nondistinctive,17,15,catprop,trufts,green,tails
0,4370,prior_elicitation,bare,18,100,catprop,daiths,gold,stripes
0,4372,prior_elicitation,nondistinctive,19,20,catprop,reesles,blue,scales
0,2940,prior_elicitation,bare,20,100,catprop,ollers,yellow,fur
0,3240,prior_elicitation,danger-distinct,21,5,catprop,ludinos,yellow,legs
0,3201,prior_elicitation,nondistinctive,22,10,catprop,luzaks,orange,shells
0,3296,prior_elicitation,danger-distinct,23,5,catprop,taifels,purple,tails
0,3430,prior_elicitation,danger-distinct,24,5,catprop,frams,silver,stripes
0,2367,prior_elicitation,danger-distinct,25,5,catprop,javs,purple,shells
0,2250,prior_elicitation,bare,26,100,catprop,feps,pink,legs
