"","workerid","rt","trial_type","stim_type","trial_num","stim_determiner","stim_color","stim_part","response","stim_category"
"1",0,12406,"implied_prevalence","danger-distinct",0,"generic","pink","teeth",100,"krivels"
"2",0,3223,"implied_prevalence","bare",1,"generic","yellow","legs",100,"ludinos"
"3",0,5478,"implied_prevalence","bare",2,"generic","green","teeth",100,"zoovs"
"4",0,1751,"implied_prevalence","bare",3,"generic","purple","shells",100,"javs"
"5",0,4705,"implied_prevalence","danger-distinct",4,"generic","silver","legs",100,"ackles"
"6",0,5903,"implied_prevalence","danger-distinct",5,"generic","purple","feathers",100,"lorches"
"7",0,2296,"implied_prevalence","bare",6,"generic","copper","spots",100,"glippets"
"8",0,3983,"implied_prevalence","danger-distinct",7,"generic","gold","stripes",100,"daiths"
"9",0,3343,"implied_prevalence","danger-distinct",8,"generic","green","shells",100,"moxes"
"10",0,7007,"implied_prevalence","nondistinctive",9,"generic","red","spots",100,"sapers"
"11",0,2918,"implied_prevalence","nondistinctive",10,"generic","red","feathers",100,"noobs"
"12",0,3551,"implied_prevalence","danger-distinct",11,"generic","gold","spots",100,"stups"
"13",0,3232,"implied_prevalence","nondistinctive",12,"generic","orange","tails",100,"zorbs"
"14",0,3071,"implied_prevalence","nondistinctive",13,"generic","silver","stripes",100,"frams"
"15",0,3128,"implied_prevalence","nondistinctive",14,"generic","copper","fur",100,"kweps"
"16",0,1960,"implied_prevalence","bare",15,"generic","silver","fur",100,"morseths"
"17",0,2552,"implied_prevalence","nondistinctive",16,"generic","pink","legs",100,"feps"
"18",0,8231,"implied_prevalence","danger-distinct",17,"generic","orange","ears",100,"kazzes"
"19",0,1792,"implied_prevalence","bare",18,"generic","green","tails",100,"trufts"
"20",0,2616,"implied_prevalence","nondistinctive",19,"generic","red","scales",100,"blins"
"21",0,4295,"implied_prevalence","danger-distinct",20,"generic","yellow","fur",100,"ollers"
"22",0,2200,"implied_prevalence","danger-distinct",21,"generic","blue","scales",100,"reesles"
"23",0,2745,"implied_prevalence","nondistinctive",22,"generic","orange","shells",100,"luzaks"
"24",0,2982,"implied_prevalence","nondistinctive",23,"generic","blue","teeth",100,"thups"
"25",0,3520,"implied_prevalence","danger-distinct",24,"generic","purple","tails",100,"taifels"
"26",0,3688,"implied_prevalence","nondistinctive",25,"generic","pink","ears",100,"elleps"
"27",0,2025,"implied_prevalence","bare",26,"generic","yellow","scales",100,"dorbs"
"28",0,1704,"implied_prevalence","bare",27,"generic","gold","feathers",100,"plovs"
"29",0,1384,"implied_prevalence","bare",28,"generic","blue","ears",100,"cheebas"
"30",0,1696,"implied_prevalence","bare",29,"generic","copper","stripes",100,"mooks"
"31",1,13885,"implied_prevalence","danger-distinct",0,"generic","copper","stripes",100,"mooks"
"32",1,7279,"implied_prevalence","danger-distinct",1,"generic","orange","shells",100,"luzaks"
"33",1,8575,"implied_prevalence","nondistinctive",2,"generic","pink","teeth",100,"krivels"
"34",1,6055,"implied_prevalence","bare",3,"generic","gold","feathers",50,"plovs"
"35",1,5312,"implied_prevalence","nondistinctive",4,"generic","purple","tails",50,"taifels"
"36",1,5704,"implied_prevalence","nondistinctive",5,"generic","purple","feathers",50,"lorches"
"37",1,3079,"implied_prevalence","bare",6,"generic","orange","ears",50,"kazzes"
"38",1,6079,"implied_prevalence","danger-distinct",7,"generic","pink","ears",100,"elleps"
"39",1,5615,"implied_prevalence","nondistinctive",8,"generic","blue","scales",50,"reesles"
"40",1,3640,"implied_prevalence","bare",9,"generic","green","teeth",100,"zoovs"
"41",1,3177,"implied_prevalence","bare",10,"generic","green","shells",100,"moxes"
"42",1,2983,"implied_prevalence","bare",11,"generic","red","spots",50,"sapers"
"43",1,6897,"implied_prevalence","danger-distinct",12,"generic","red","scales",100,"blins"
"44",1,6551,"implied_prevalence","danger-distinct",13,"generic","orange","tails",100,"zorbs"
"45",1,3368,"implied_prevalence","bare",14,"generic","silver","fur",100,"morseths"
"46",1,4344,"implied_prevalence","danger-distinct",15,"generic","yellow","legs",100,"ludinos"
"47",1,6720,"implied_prevalence","nondistinctive",16,"generic","copper","fur",100,"kweps"
"48",1,4744,"implied_prevalence","danger-distinct",17,"generic","red","feathers",100,"noobs"
"49",1,5296,"implied_prevalence","nondistinctive",18,"generic","blue","ears",100,"cheebas"
"50",1,4663,"implied_prevalence","nondistinctive",19,"generic","silver","legs",100,"ackles"
"51",1,3535,"implied_prevalence","bare",20,"generic","gold","stripes",100,"daiths"
"52",1,20312,"implied_prevalence","nondistinctive",21,"generic","purple","shells",100,"javs"
"53",1,5136,"implied_prevalence","bare",22,"generic","green","tails",100,"trufts"
"54",1,5400,"implied_prevalence","nondistinctive",23,"generic","gold","spots",50,"stups"
"55",1,13344,"implied_prevalence","danger-distinct",24,"generic","copper","spots",25,"glippets"
"56",1,6680,"implied_prevalence","danger-distinct",25,"generic","yellow","fur",25,"ollers"
"57",1,4375,"implied_prevalence","danger-distinct",26,"generic","blue","teeth",100,"thups"
"58",1,2906,"implied_prevalence","bare",27,"generic","pink","legs",100,"feps"
"59",1,5543,"implied_prevalence","bare",28,"generic","yellow","scales",50,"dorbs"
"60",1,4273,"implied_prevalence","nondistinctive",29,"generic","silver","stripes",50,"frams"
"61",2,14508,"implied_prevalence","nondistinctive",0,"generic","copper","stripes",40,"mooks"
"62",2,6082,"implied_prevalence","bare",1,"generic","green","shells",100,"moxes"
"63",2,5579,"implied_prevalence","bare",2,"generic","silver","fur",100,"morseths"
"64",2,9868,"implied_prevalence","danger-distinct",3,"generic","pink","teeth",100,"krivels"
"65",2,4871,"implied_prevalence","bare",4,"generic","gold","spots",100,"stups"
