"","workerid","rt","trial_type","stim_type","stim_part","stim_determiner","trialNum","stim_color","stim_prevalence","response","stim_category"
"1",0,11517,"truth_conditions","distinct","stripes","generic",0,"copper",10,"True","mooks"
"2",0,6152,"truth_conditions","irrelevant","stripes","generic",1,"silver",30,"True","frams"
"3",0,5017,"truth_conditions","distinct","teeth","generic",2,"green",90,"True","zoovs"
"4",0,3634,"truth_conditions","bare","ears","generic",3,"blue",70,"True","cheebas"
"5",0,4168,"truth_conditions","distinct","ears","generic",4,"pink",50,"True","elleps"
"6",0,4614,"truth_conditions","distinct","shells","generic",5,"orange",90,"True","luzaks"
"7",0,3936,"truth_conditions","bare","teeth","generic",6,"pink",70,"True","krivels"
"8",0,4750,"truth_conditions","distinct","scales","generic",7,"blue",10,"True","reesles"
"9",0,4390,"truth_conditions","irrelevant","spots","generic",8,"gold",70,"True","stups"
"10",0,3276,"truth_conditions","bare","spots","generic",9,"copper",10,"True","glippets"
"11",0,3265,"truth_conditions","irrelevant","ears","generic",10,"orange",50,"True","kazzes"
"12",0,4700,"truth_conditions","irrelevant","teeth","generic",11,"blue",30,"True","thups"
"13",0,4685,"truth_conditions","distinct","spots","generic",12,"red",70,"True","sapers"
"14",0,4417,"truth_conditions","irrelevant","scales","generic",13,"yellow",10,"True","dorbs"
"15",0,3114,"truth_conditions","bare","scales","generic",14,"red",90,"True","blins"
"16",0,3083,"truth_conditions","bare","legs","generic",15,"yellow",50,"True","ludinos"
"17",0,4468,"truth_conditions","irrelevant","feathers","generic",16,"red",10,"True","noobs"
"18",0,3900,"truth_conditions","irrelevant","shells","generic",17,"purple",90,"True","javs"
"19",0,2866,"truth_conditions","bare","tails","generic",18,"orange",90,"True","zorbs"
"20",0,3500,"truth_conditions","bare","shells","generic",19,"green",50,"True","moxes"
"21",0,3166,"truth_conditions","irrelevant","legs","generic",20,"pink",90,"True","feps"
"22",0,4666,"truth_conditions","distinct","legs","generic",21,"silver",30,"True","ackles"
"23",0,3473,"truth_conditions","distinct","tails","generic",22,"purple",70,"True","taifels"
"24",0,3281,"truth_conditions","bare","stripes","generic",23,"gold",10,"True","daiths"
"25",0,3880,"truth_conditions","distinct","fur","generic",24,"yellow",50,"True","ollers"
"26",0,3632,"truth_conditions","distinct","feathers","generic",25,"gold",30,"True","plovs"
"27",0,3283,"truth_conditions","bare","fur","generic",26,"silver",30,"True","morseths"
"28",0,3434,"truth_conditions","irrelevant","tails","generic",27,"green",70,"True","trufts"
"29",0,3100,"truth_conditions","irrelevant","fur","generic",28,"copper",50,"True","kweps"
"30",0,2850,"truth_conditions","bare","feathers","generic",29,"purple",30,"True","lorches"
"31",1,6853,"truth_conditions","bare","fur","generic",0,"silver",90,"True","morseths"
"32",1,5854,"truth_conditions","distinct","scales","generic",1,"blue",90,"True","reesles"
"33",1,3808,"truth_conditions","bare","legs","generic",2,"yellow",30,"False","ludinos"
"34",1,9978,"truth_conditions","irrelevant","fur","generic",3,"copper",30,"False","kweps"
"35",1,6941,"truth_conditions","irrelevant","stripes","generic",4,"silver",50,"True","frams"
"36",1,5198,"truth_conditions","bare","feathers","generic",5,"purple",30,"False","lorches"
"37",1,10196,"truth_conditions","distinct","stripes","generic",6,"copper",10,"True","mooks"
"38",1,6571,"truth_conditions","irrelevant","legs","generic",7,"pink",70,"True","feps"
"39",1,6091,"truth_conditions","distinct","teeth","generic",8,"green",50,"True","zoovs"
"40",1,5152,"truth_conditions","distinct","feathers","generic",9,"gold",90,"True","plovs"
