"workerid","rt","trial_type","stim_property","origins","stim_word","stim_kind","stim_proptype","stim_name","stim_prevalence","event_outcome","response"
0,23.074,"predictive_likelihood_bornToday","crests","extrinsic","generic","bird","part","trufts",1,"lost",0.45
0,15.166,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","dobles",1,"maintained",0.94
0,18.687,"predictive_likelihood_bornToday","red","extrinsic","generic","bug","color","cheebas",0,"maintained",0.25
0,20.092,"predictive_likelihood_bornToday","yellow","intrinsic","generic","bird","color","reesles",0,"lost",0.75
1,30.832,"predictive_likelihood_bornToday","wings","extrinsic","generic","bug","part","morseths",1,"maintained",0.67
1,18.333,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","crullets",0,"lost",0.24
1,14.829,"predictive_likelihood_bornToday","green","intrinsic","generic","bird","color","taifels",0,"maintained",0.97
1,13.116,"predictive_likelihood_bornToday","yellow","extrinsic","generic","bird","color","feps",1,"lost",0.03
2,34.423,"predictive_likelihood_bornToday","crests","extrinsic","generic","bird","part","zorbs",1,"maintained",0.29
2,22.156,"predictive_likelihood_bornToday","purple","intrinsic","generic","fish","color","sapers",1,"lost",0.58
2,17.664,"predictive_likelihood_bornToday","green","extrinsic","generic","fish","color","taifels",0,"lost",0.2
2,13.415,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","moxes",0,"maintained",0.83
3,45.438,"predictive_likelihood_bornToday","purple","extrinsic","generic","bug","color","stups",0,"maintained",0.51
3,35.767,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","glippets",0,"maintained",1
3,19.9,"predictive_likelihood_bornToday","black","intrinsic","generic","bird","color","blins",1,"lost",0.51
3,19.158,"predictive_likelihood_bornToday","wings","extrinsic","generic","bug","part","feps",1,"lost",0
4,6.859,"predictive_likelihood_bornToday","orange","extrinsic","generic","bug","color","glippets",1,"maintained",0.7
4,4.177,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","frams",1,"lost",0.62
4,3.758,"predictive_likelihood_bornToday","purple","intrinsic","generic","bug","color","lorches",0,"maintained",0.57
4,3.898,"predictive_likelihood_bornToday","fangs","extrinsic","generic","fish","part","moxes",0,"lost",0.63
5,31.651,"predictive_likelihood_bornToday","yellow","intrinsic","generic","fish","color","sapers",1,"maintained",1
5,31.315,"predictive_likelihood_bornToday","blue","extrinsic","generic","bird","color","cheebas",0,"maintained",0
