workerid,trial_number,trial_type,property,prevalence,animal,rt,property_index,animal_index
0,0,priors,attacks swimmers,0,Peacocks,49.148,0,0
0,0,priors,attacks swimmers,100,Sharks,49.148,0,1
0,0,priors,attacks swimmers,0,Robins,49.148,0,2
0,0,priors,attacks swimmers,50,Mosquitos,49.148,0,3
0,0,priors,attacks swimmers,5,Ducks,49.148,0,4
0,0,priors,attacks swimmers,0,Tigers,49.148,0,5
0,0,priors,attacks swimmers,0,cats,49.148,0,6
0,0,priors,attacks swimmers,0,dogs,49.148,0,7
0,0,priors,attacks swimmers,0,whales,49.148,0,8
0,0,priors,attacks swimmers,15,fish,49.148,0,9
0,0,priors,attacks swimmers,100,alligators,49.148,0,10
0,0,priors,have beautiful feathers,100,Peacocks,19.561,1,0
0,0,priors,have beautiful feathers,0,Sharks,19.561,1,1
0,0,priors,have beautiful feathers,100,Robins,19.561,1,2
0,0,priors,have beautiful feathers,0,Mosquitos,19.561,1,3
0,0,priors,have beautiful feathers,100,Ducks,19.561,1,4
0,0,priors,have beautiful feathers,0,Tigers,19.561,1,5
0,0,priors,have beautiful feathers,0,cats,19.561,1,6
0,0,priors,have beautiful feathers,0,dogs,19.561,1,7
0,0,priors,have beautiful feathers,0,whales,19.561,1,8
0,0,priors,have beautiful feathers,0,fish,19.561,1,9
0,0,priors,have beautiful feathers,0,alligators,19.561,1,10
0,0,priors,are female,50,Peacocks,14.421,2,0
0,0,priors,are female,50,Sharks,14.421,2,1
0,0,priors,are female,50,Robins,14.421,2,2
0,0,priors,are female,50,Mosquitos,14.421,2,3
0,0,priors,are female,50,Ducks,14.421,2,4
0,0,priors,are female,50,Tigers,14.421,2,5
0,0,priors,are female,50,cats,14.421,2,6
0,0,priors,are female,50,dogs,14.421,2,7
0,0,priors,are female,50,whales,14.421,2,8
0,0,priors,are female,50,fish,14.421,2,9
0,0,priors,are female,50,alligators,14.421,2,10
0,0.333333333333,priors,lay eggs,50,Peacocks,24.431,3,0
0,0.333333333333,priors,lay eggs,0,Sharks,24.431,3,1
0,0.333333333333,priors,lay eggs,50,Robins,24.431,3,2
0,0.333333333333,priors,lay eggs,50,Mosquitos,24.431,3,3
0,0.333333333333,priors,lay eggs,50,Ducks,24.431,3,4
0,0.333333333333,priors,lay eggs,0,Tigers,24.431,3,5
0,0.333333333333,priors,lay eggs,0,cats,24.431,3,6
0,0.333333333333,priors,lay eggs,0,dogs,24.431,3,7
0,0.333333333333,priors,lay eggs,0,whales,24.431,3,8
0,0.333333333333,priors,lay eggs,0,fish,24.431,3,9
0,0.333333333333,priors,lay eggs,0,alligators,24.431,3,10
0,0.166666666667,priors,eat people,0,Peacocks,108.231,4,0
0,0.166666666667,priors,eat people,100,Sharks,108.231,4,1
0,0.166666666667,priors,eat people,0,Robins,108.231,4,2
0,0.166666666667,priors,eat people,0,Mosquitos,108.231,4,3
0,0.166666666667,priors,eat people,0,Ducks,108.231,4,4
0,0.166666666667,priors,eat people,30,Tigers,108.231,4,5
0,0.166666666667,priors,eat people,0,cats,108.231,4,6
0,0.166666666667,priors,eat people,0,dogs,108.231,4,7
0,0.166666666667,priors,eat people,100,whales,108.231,4,8
0,0.166666666667,priors,eat people,15,fish,108.231,4,9
0,0.166666666667,priors,eat people,100,alligators,108.231,4,10
0,0,priors,carry malaria,0,Peacocks,23.983,5,0
0,0,priors,carry malaria,0,Sharks,23.983,5,1
0,0,priors,carry malaria,0,Robins,23.983,5,2
0,0,priors,carry malaria,100,Mosquitos,23.983,5,3
0,0,priors,carry malaria,0,Ducks,23.983,5,4
0,0,priors,carry malaria,15,Tigers,23.983,5,5
0,0,priors,carry malaria,0,cats,23.983,5,6
0,0,priors,carry malaria,0,dogs,23.983,5,7
0,0,priors,carry malaria,0,whales,23.983,5,8
0,0,priors,carry malaria,0,fish,23.983,5,9
0,0,priors,carry malaria,0,alligators,23.983,5,10
0,1,priors,are juveline,30,Peacocks,26.745,6,0
0,1,priors,are juveline,30,Sharks,26.745,6,1
0,1,priors,are juveline,30,Robins,26.745,6,2
0,1,priors,are juveline,30,Mosquitos,26.745,6,3
0,1,priors,are juveline,30,Ducks,26.745,6,4
0,1,priors,are juveline,30,Tigers,26.745,6,5
0,1,priors,are juveline,30,cats,26.745,6,6
0,1,priors,are juveline,30,dogs,26.745,6,7
0,1,priors,are juveline,30,whales,26.745,6,8
0,1,priors,are juveline,30,fish,26.745,6,9
0,1,priors,are juveline,30,alligators,26.745,6,10
0,1,priors,have wings,100,Peacocks,15.667,7,0
0,1,priors,have wings,0,Sharks,15.667,7,1
0,1,priors,have wings,100,Robins,15.667,7,2
0,1,priors,have wings,100,Mosquitos,15.667,7,3
0,1,priors,have wings,100,Ducks,15.667,7,4
0,1,priors,have wings,0,Tigers,15.667,7,5
0,1,priors,have wings,0,cats,15.667,7,6
0,1,priors,have wings,0,dogs,15.667,7,7
0,1,priors,have wings,0,whales,15.667,7,8
0,1,priors,have wings,0,fish,15.667,7,9
0,1,priors,have wings,0,alligators,15.667,7,10
0,1,priors,are white,50,Swans,23.789,8,0
0,1,priors,are white,0,Leopards,23.789,8,1
0,1,priors,are white,0,Ticks,23.789,8,2
0,1,priors,are white,0,Lions,23.789,8,3
0,1,priors,are white,0,Cardinals,23.789,8,4
0,1,priors,are white,0,Kangaroos,23.789,8,5
0,1,priors,are white,10,bear,23.789,8,6
0,1,priors,are white,0,jaguar,23.789,8,7
0,1,priors,are white,0,turkey,23.789,8,8
0,1,priors,are white,0,butterflies,23.789,8,9
0,1,priors,are white,80,rabbit,23.789,8,10
0,1,priors,have pouches,0,Swans,12.408,9,0
0,1,priors,have pouches,0,Leopards,12.408,9,1
0,1,priors,have pouches,0,Ticks,12.408,9,2
0,1,priors,have pouches,0,Lions,12.408,9,3
0,1,priors,have pouches,0,Cardinals,12.408,9,4
0,1,priors,have pouches,100,Kangaroos,12.408,9,5
0,1,priors,have pouches,0,bear,12.408,9,6
0,1,priors,have pouches,0,jaguar,12.408,9,7
0,1,priors,have pouches,0,turkey,12.408,9,8
0,1,priors,have pouches,0,butterflies,12.408,9,9
0,1,priors,have pouches,0,rabbit,12.408,9,10
0,1,priors,are male,50,Swans,11.952,10,0
0,1,priors,are male,50,Leopards,11.952,10,1
0,1,priors,are male,50,Ticks,11.952,10,2
0,1,priors,are male,50,Lions,11.952,10,3
0,1,priors,are male,50,Cardinals,11.952,10,4
0,1,priors,are male,50,Kangaroos,11.952,10,5
0,1,priors,are male,50,bear,11.952,10,6
0,1,priors,are male,50,jaguar,11.952,10,7
0,1,priors,are male,50,turkey,11.952,10,8
0,1,priors,are male,50,butterflies,11.952,10,9
0,1,priors,are male,50,rabbit,11.952,10,10
0,1,priors,have spots,15,Swans,25.762,11,0
0,1,priors,have spots,100,Leopards,25.762,11,1
0,1,priors,have spots,0,Ticks,25.762,11,2
0,1,priors,have spots,0,Lions,25.762,11,3
0,1,priors,have spots,0,Cardinals,25.762,11,4
0,1,priors,have spots,0,Kangaroos,25.762,11,5
0,1,priors,have spots,0,bear,25.762,11,6
0,1,priors,have spots,100,jaguar,25.762,11,7
0,1,priors,have spots,10,turkey,25.762,11,8
0,1,priors,have spots,100,butterflies,25.762,11,9
