Parameter,Item,Prevalence,Value,Probability
color,response0,gamma,0.39647506875917315,0.0007400000000000074
color,response0,delta,1.824869483243674,0.0007400000000000074
color,response1,gamma,0.6029652012512088,0.0007400000000000074
color,response1,delta,1.3623540522530675,0.0007400000000000074
vague,response0,gamma,0.6060488934163004,0.0007400000000000074
vague,response0,delta,2.315705828368664,0.0007400000000000074
vague,response1,gamma,0.7826307194773108,0.0007400000000000074
vague,response1,delta,2.7702787541784346,0.0007400000000000074
accidental_low,response0,gamma,0.39712203736416996,0.0007400000000000074
accidental_low,response0,delta,1.4728654408827424,0.0007400000000000074
accidental_low,response1,gamma,0.22815598314628005,0.0007400000000000074
accidental_low,response1,delta,3.0625910847447813,0.0007400000000000074
part,response0,gamma,0.7904983093030751,0.0007400000000000074
part,response0,delta,2.9220575466752052,0.0007400000000000074
part,response1,gamma,0.8799896682612598,0.0007400000000000074
part,response1,delta,3.774251416325569,0.0007400000000000074
accidental_high,response0,gamma,0.44850972993299365,0.0007400000000000074
accidental_high,response0,delta,1.450130739249289,0.0007400000000000074
accidental_high,response1,gamma,0.3967073664534837,0.0007400000000000074
accidental_high,response1,delta,1.9500208785757422,0.0007400000000000074
color,response0,gamma,0.39647506875917315,0.00024000000000000245
color,response0,delta,1.824869483243674,0.00024000000000000245
color,response1,gamma,0.6029652012512088,0.00024000000000000245
color,response1,delta,1.3623540522530675,0.00024000000000000245
vague,response0,gamma,0.6060488934163004,0.00024000000000000245
vague,response0,delta,2.315705828368664,0.00024000000000000245
vague,response1,gamma,0.7826307194773108,0.00024000000000000245
vague,response1,delta,2.7702787541784346,0.00024000000000000245
accidental_low,response0,gamma,0.39712203736416996,0.00024000000000000245
accidental_low,response0,delta,1.4728654408827424,0.00024000000000000245
accidental_low,response1,gamma,0.22815598314628005,0.00024000000000000245
accidental_low,response1,delta,3.0625910847447813,0.00024000000000000245
part,response0,gamma,0.7885053418576717,0.00024000000000000245
part,response0,delta,2.9220575466752052,0.00024000000000000245
part,response1,gamma,0.8799896682612598,0.00024000000000000245
part,response1,delta,3.774251416325569,0.00024000000000000245
accidental_high,response0,gamma,0.44850972993299365,0.00024000000000000245
accidental_high,response0,delta,1.450130739249289,0.00024000000000000245
accidental_high,response1,gamma,0.3967073664534837,0.00024000000000000245
accidental_high,response1,delta,1.9500208785757422,0.00024000000000000245
color,response0,gamma,0.4419499586801976,0.0008600000000000087
color,response0,delta,1.824869483243674,0.0008600000000000087
color,response1,gamma,0.6029652012512088,0.0008600000000000087
color,response1,delta,1.3623540522530675,0.0008600000000000087
vague,response0,gamma,0.6060488934163004,0.0008600000000000087
vague,response0,delta,2.315705828368664,0.0008600000000000087
vague,response1,gamma,0.7826307194773108,0.0008600000000000087
vague,response1,delta,2.7702787541784346,0.0008600000000000087
accidental_low,response0,gamma,0.39712203736416996,0.0008600000000000087
accidental_low,response0,delta,1.4728654408827424,0.0008600000000000087
accidental_low,response1,gamma,0.22815598314628005,0.0008600000000000087
accidental_low,response1,delta,3.0625910847447813,0.0008600000000000087
part,response0,gamma,0.7885053418576717,0.0008600000000000087
part,response0,delta,2.9220575466752052,0.0008600000000000087
part,response1,gamma,0.8799896682612598,0.0008600000000000087
part,response1,delta,3.774251416325569,0.0008600000000000087
accidental_high,response0,gamma,0.44850972993299365,0.0008600000000000087
accidental_high,response0,delta,1.450130739249289,0.0008600000000000087
accidental_high,response1,gamma,0.3967073664534837,0.0008600000000000087
accidental_high,response1,delta,1.9500208785757422,0.0008600000000000087
color,response0,gamma,0.4419499586801976,0.00010000000000000098
color,response0,delta,1.824869483243674,0.00010000000000000098
color,response1,gamma,0.6029652012512088,0.00010000000000000098
color,response1,delta,1.3623540522530675,0.00010000000000000098
vague,response0,gamma,0.6475421476643533,0.00010000000000000098
vague,response0,delta,2.315705828368664,0.00010000000000000098
vague,response1,gamma,0.7826307194773108,0.00010000000000000098
vague,response1,delta,2.7702787541784346,0.00010000000000000098
accidental_low,response0,gamma,0.39712203736416996,0.00010000000000000098
accidental_low,response0,delta,1.4728654408827424,0.00010000000000000098
accidental_low,response1,gamma,0.22815598314628005,0.00010000000000000098
accidental_low,response1,delta,3.0625910847447813,0.00010000000000000098
part,response0,gamma,0.7885053418576717,0.00010000000000000098
part,response0,delta,2.9220575466752052,0.00010000000000000098
part,response1,gamma,0.8799896682612598,0.00010000000000000098
part,response1,delta,3.774251416325569,0.00010000000000000098
accidental_high,response0,gamma,0.44850972993299365,0.00010000000000000098
accidental_high,response0,delta,1.450130739249289,0.00010000000000000098
accidental_high,response1,gamma,0.3967073664534837,0.00010000000000000098
accidental_high,response1,delta,1.9500208785757422,0.00010000000000000098
color,response0,gamma,0.4419499586801976,0.000400000000000004
color,response0,delta,1.824869483243674,0.000400000000000004
color,response1,gamma,0.6029652012512088,0.000400000000000004
color,response1,delta,1.3623540522530675,0.000400000000000004
vague,response0,gamma,0.5787947857752442,0.000400000000000004
vague,response0,delta,2.315705828368664,0.000400000000000004
vague,response1,gamma,0.7826307194773108,0.000400000000000004
vague,response1,delta,2.7702787541784346,0.000400000000000004
accidental_low,response0,gamma,0.39712203736416996,0.000400000000000004
accidental_low,response0,delta,1.4728654408827424,0.000400000000000004
accidental_low,response1,gamma,0.22815598314628005,0.000400000000000004
accidental_low,response1,delta,3.0625910847447813,0.000400000000000004
part,response0,gamma,0.7885053418576717,0.000400000000000004
part,response0,delta,2.9220575466752052,0.000400000000000004
part,response1,gamma,0.8799896682612598,0.000400000000000004
part,response1,delta,3.774251416325569,0.000400000000000004
accidental_high,response0,gamma,0.44850972993299365,0.000400000000000004
accidental_high,response0,delta,1.450130739249289,0.000400000000000004
accidental_high,response1,gamma,0.3967073664534837,0.000400000000000004
accidental_high,response1,delta,1.9500208785757422,0.000400000000000004
color,response0,gamma,0.4419499586801976,0.0007000000000000069
color,response0,delta,1.824869483243674,0.0007000000000000069
color,response1,gamma,0.6029652012512088,0.0007000000000000069
color,response1,delta,1.3623540522530675,0.0007000000000000069
vague,response0,gamma,0.5787947857752442,0.0007000000000000069
vague,response0,delta,2.315705828368664,0.0007000000000000069
vague,response1,gamma,0.7826307194773108,0.0007000000000000069
vague,response1,delta,2.7702787541784346,0.0007000000000000069
accidental_low,response0,gamma,0.39712203736416996,0.0007000000000000069
accidental_low,response0,delta,1.4728654408827424,0.0007000000000000069
accidental_low,response1,gamma,0.22815598314628005,0.0007000000000000069
accidental_low,response1,delta,3.0625910847447813,0.0007000000000000069
part,response0,gamma,0.7885053418576717,0.0007000000000000069
part,response0,delta,2.7144237188622355,0.0007000000000000069
part,response1,gamma,0.8799896682612598,0.0007000000000000069
part,response1,delta,3.774251416325569,0.0007000000000000069
accidental_high,response0,gamma,0.44850972993299365,0.0007000000000000069
accidental_high,response0,delta,1.450130739249289,0.0007000000000000069
accidental_high,response1,gamma,0.3967073664534837,0.0007000000000000069
accidental_high,response1,delta,1.9500208785757422,0.0007000000000000069
color,response0,gamma,0.4419499586801976,0.0000600000000000006
color,response0,delta,1.824869483243674,0.0000600000000000006
color,response1,gamma,0.6029652012512088,0.0000600000000000006
color,response1,delta,1.3623540522530675,0.0000600000000000006
vague,response0,gamma,0.6425738872494549,0.0000600000000000006
vague,response0,delta,2.315705828368664,0.0000600000000000006
vague,response1,gamma,0.7826307194773108,0.0000600000000000006
vague,response1,delta,2.7702787541784346,0.0000600000000000006
accidental_low,response0,gamma,0.39712203736416996,0.0000600000000000006
accidental_low,response0,delta,1.4728654408827424,0.0000600000000000006
accidental_low,response1,gamma,0.22815598314628005,0.0000600000000000006
accidental_low,response1,delta,3.0625910847447813,0.0000600000000000006
part,response0,gamma,0.7885053418576717,0.0000600000000000006
part,response0,delta,2.7144237188622355,0.0000600000000000006
part,response1,gamma,0.8799896682612598,0.0000600000000000006
part,response1,delta,3.774251416325569,0.0000600000000000006
accidental_high,response0,gamma,0.44850972993299365,0.0000600000000000006
accidental_high,response0,delta,1.450130739249289,0.0000600000000000006
accidental_high,response1,gamma,0.3967073664534837,0.0000600000000000006
accidental_high,response1,delta,1.9500208785757422,0.0000600000000000006
color,response0,gamma,0.4419499586801976,0.0015000000000000154
color,response0,delta,1.824869483243674,0.0015000000000000154
color,response1,gamma,0.6029652012512088,0.0015000000000000154
color,response1,delta,1.3623540522530675,0.0015000000000000154
vague,response0,gamma,0.6425738872494549,0.0015000000000000154
vague,response0,delta,2.315705828368664,0.0015000000000000154
vague,response1,gamma,0.7826307194773108,0.0015000000000000154
vague,response1,delta,2.7702787541784346,0.0015000000000000154
accidental_low,response0,gamma,0.39712203736416996,0.0015000000000000154
accidental_low,response0,delta,1.4728654408827424,0.0015000000000000154
accidental_low,response1,gamma,0.22815598314628005,0.0015000000000000154
accidental_low,response1,delta,3.0625910847447813,0.0015000000000000154
part,response0,gamma,0.7885053418576717,0.0015000000000000154
part,response0,delta,2.7144237188622355,0.0015000000000000154
part,response1,gamma,0.8833875416312367,0.0015000000000000154
part,response1,delta,3.774251416325569,0.0015000000000000154
accidental_high,response0,gamma,0.44850972993299365,0.0015000000000000154
