Category,Measure,g,d,a,b,Probability
dusty skin,across,0.8411265485920012,0.9885960258543491,0.8315343631786375,0.15706166267571167,0.0001000000000000001
dusty skin,across,0.7630412252619863,0.9885960258543491,0.7543395228570328,0.23425650299731632,0.0001000000000000001
dusty skin,across,0.8075636429712176,0.9885960258543491,0.7983542080658063,0.1902418177885429,0.0056000000000000025
dusty skin,across,0.8119585795793682,0.9885960258543491,0.8026990249305057,0.18589700092384343,0.0001000000000000001
dusty skin,across,0.8217233943287283,0.9885960258543491,0.812352481984927,0.1762435438694221,0.0012999999999999993
dusty skin,across,0.786900375969708,0.9885960258543491,0.7779265844269465,0.21066944142740265,0.0006999999999999997
dusty skin,across,0.7754666989203542,0.9885960258543491,0.7666232967350533,0.22197272911929583,0.0008
dusty skin,across,0.8134082432370633,0.9885960258543491,0.8041321566613285,0.1844638691930206,0.0081
dusty skin,across,0.8243568141479045,0.9885960258543491,0.8149558703525707,0.17364015550177844,0.0021999999999999997
dusty skin,across,0.7666846641805023,0.9885960258543491,0.7579414120923208,0.2306546137620283,0.0020999999999999986
dusty skin,across,0.8244557294528931,0.9885960258543491,0.8150536576299786,0.17354236822437052,0.006299999999999998
dusty skin,across,0.8125733816996217,0.9885960258543491,0.8033068158632751,0.18528920999107404,0.00019999999999999985
dusty skin,across,0.7428418570198119,0.9885960258543491,0.7343705076880507,0.25422551816629846,0.0014000000000000006
dusty skin,across,0.7521750025916845,0.9885960258543491,0.7435972183091241,0.24499880754522513,0.0001000000000000001
dusty skin,across,0.8110192937310785,0.9885960258543491,0.8017704506737453,0.1868255751806039,0.00019999999999999985
dusty skin,across,0.8081411544699222,0.9885960258543491,0.7989251336383107,0.1896708922160384,0.0017999999999999993
dusty skin,across,0.8289657030254602,0.9885960258543491,0.8195121995805266,0.16908382627382254,0.0020999999999999986
dusty skin,across,0.807623729808256,0.9885960258543491,0.7984136096741086,0.19018241618024057,0.0023000000000000004
dusty skin,across,0.7939965366385877,0.9885960258543491,0.784941820663025,0.2036542051913242,0.0016
dusty skin,across,0.8271615547128022,0.9885960258543491,0.817728625728581,0.17086740012576812,0.004300000000000002
dusty skin,across,0.8150578257627785,0.9885960258543491,0.8057629273905694,0.18283309846377974,0.0005999999999999994
dusty skin,across,0.8115933977533132,0.9885960258543491,0.8023380076285535,0.18625801822579569,0.006899999999999999
dusty skin,across,0.76873162179254,0.9885960258543491,0.7599650262526736,0.22863099960167557,0.0008999999999999997
dusty skin,across,0.7626964682713151,0.9885960258543491,0.7539986974661698,0.23459732838817934,0.0021999999999999997
dusty skin,across,0.7915693051181734,0.9885960258543491,0.7825422692281149,0.20605375662623424,0.011800000000000008
dusty skin,across,0.7946477546356618,0.9885960258543491,0.7855856121868973,0.2030104136674519,0.0028999999999999994
dusty skin,across,0.7821773593313992,0.9885960258543491,0.7732574289482704,0.21533859690607868,0.0008999999999999997
dusty skin,across,0.7761907982639968,0.9885960258543491,0.7673391384685021,0.22125688738584703,0.005199999999999997
dusty skin,across,0.8445666085463017,0.9885960258543491,0.8349351927781596,0.15366083307618947,0.00019999999999999985
dusty skin,across,0.7504219640977681,0.9885960258543491,0.7418641714208686,0.24673185443348056,0.0001000000000000001
dusty skin,across,0.785506818909198,0.9885960258543491,0.776548919455125,0.21204710639922403,0.007899999999999997
dusty skin,across,0.752688956214115,0.9885960258543491,0.7441053108177323,0.24449071503661682,0.0010999999999999998
dusty skin,across,0.7861894646193832,0.9885960258543491,0.7772237802912807,0.21137224556306847,0.0005999999999999994
dusty skin,across,0.7982722811866552,0.9885960258543491,0.7891688047308129,0.19942722112353634,0.004000000000000003
dusty skin,across,0.8064721792470664,0.9885960258543491,0.7972751913657461,0.19132083448860301,0.003900000000000001
dusty skin,across,0.7889735500793904,0.9885960258543491,0.7799761161126827,0.20861990974166647,0.0020000000000000013
dusty skin,across,0.8039946588687599,0.9885960258543491,0.7948259245657792,0.19377010128857,0.007899999999999997
dusty skin,across,0.7778602009639144,0.9885960258543491,0.7689895033431912,0.219606522511158,0.0004999999999999998
dusty skin,across,0.7950594748836011,0.9885960258543491,0.7859926371877737,0.2026033886665754,0.003900000000000001
dusty skin,across,0.89074258483015,0.9885960258543491,0.8805845794223167,0.10801144643203238,0.0001000000000000001
dusty skin,across,0.7455192918423563,0.9885960258543491,0.7370174091131022,0.251578616741247,0.005000000000000001
dusty skin,across,0.7514012805186212,0.9885960258543491,0.7428323197425779,0.24576370611177123,0.00030000000000000024
dusty skin,across,0.7766371902544051,0.9885960258543491,0.7677804398161929,0.22081558603815615,0.003099999999999999
dusty skin,across,0.7782009860966355,0.9885960258543491,0.7693264021710694,0.2192696236832797,0.001899999999999999
dusty skin,across,0.7957124512176961,0.9885960258543491,0.786638166996637,0.20195785885771214,0.0004999999999999998
dusty skin,across,0.8097973661497235,0.9885960258543491,0.8005624579229359,0.1880335679314132,0.011599999999999997
dusty skin,across,0.8631260194815695,0.9885960258543491,0.8532829526709632,0.13531307318338598,0.004300000000000002
dusty skin,across,0.8701658672653139,0.9885960258543491,0.8602425182125923,0.12835350764175676,0.0004999999999999998
dusty skin,across,0.7641978666651994,0.9885960258543491,0.7554829739515879,0.23311305190276121,0.0009999999999999996
dusty skin,across,0.825235023163259,0.9885960258543491,0.8158240642950196,0.1727719615593295,0.00019999999999999985
dusty skin,across,0.780425667995587,0.9885960258543491,0.771525713855163,0.2170703119991861,0.009399999999999999
dusty skin,across,0.8180637846235186,0.9885960258543491,0.8087346063741787,0.17986141948017045,0.0015000000000000002
dusty skin,across,0.7854826063849032,0.9885960258543491,0.7765249830498313,0.21207104280451783,0.0011999999999999988
dusty skin,across,0.7952478199731559,0.9885960258543491,0.7861788343947967,0.20241719145955236,0.0005999999999999994
dusty skin,across,0.7292454200796783,0.9885960258543491,0.7209291241632554,0.2676669016910938,0.001899999999999999
dusty skin,across,0.8455945998430252,0.9885960258543491,0.8359514608887133,0.15264456496563578,0.0014000000000000006
dusty skin,across,0.7515872055664659,0.9885960258543491,0.7430161245059839,0.24557990134836524,0.003099999999999999
dusty skin,across,0.7904480018187314,0.9885960258543491,0.7814337532425092,0.20716227261183992,0.0081
dusty skin,across,0.8257769162300974,0.9885960258543491,0.8163597776273341,0.17223624822701505,0.0032
dusty skin,across,0.8112995040137321,0.9885960258543491,0.8020474654455801,0.18654856040876902,0.0024
dusty skin,across,0.8092886423692107,0.9885960258543491,0.8000595356152633,0.18853649023908578,0.0008
dusty skin,across,0.7730727926827967,0.9885960258543491,0.764256690542336,0.22433933531201314,0.003099999999999999
dusty skin,across,0.7949609642382711,0.9885960258543491,0.7858952499552961,0.20270077589905294,0.0016
dusty skin,across,0.7355602658353746,0.9885960258543491,0.7271719555812199,0.26142407027312925,0.0011999999999999988
dusty skin,across,0.7627721871249378,0.9885960258543491,0.7540735528239434,0.23452247303040571,0.0020000000000000013
dusty skin,across,0.8140048957429826,0.9885960258543491,0.8047220049574965,0.1838740208968527,0.00019999999999999985
dusty skin,across,0.8570861320476979,0.9885960258543491,0.8473119439572301,0.14128408189711908,0.00030000000000000024
dusty skin,across,0.7530144017655402,0.9885960258543491,0.7444270449965033,0.24416898085784586,0.0008
dusty skin,across,0.8398905280046165,0.9885960258543491,0.8303124381380748,0.15828358771627435,0.0016999999999999997
dusty skin,across,0.784180617891252,0.9885960258543491,0.7752378423992997,0.21335818345504945,0.0006999999999999997
dusty skin,across,0.8036890309303999,0.9885960258543491,0.7945237820005264,0.1940722438538227,0.0008999999999999997
dusty skin,across,0.7738916110247374,0.9885960258543491,0.7650661711010751,0.22352985475327397,0.0004999999999999998
dusty skin,across,0.8223201155196875,0.9885960258543491,0.8129423981828524,0.17565362767149675,0.0027000000000000006
dusty skin,across,0.7819147128611803,0.9885960258543491,0.7729977776916074,0.21559824816274176,0.0004
dusty skin,across,0.8258706259075552,0.9885960258543491,0.816452418642053,0.17214360721229616,0.0057
dusty skin,across,0.8132001962512732,0.9885960258543491,0.8039264822379855,0.1846695436163637,0.0009999999999999996
dusty skin,across,0.7608015704900026,0.9885960258543491,0.7521254090501641,0.23647061680418507,0.0017999999999999993
dusty skin,across,0.8250906616449356,0.9885960258543491,0.8156813490717187,0.17291467678263034,0.0009999999999999996
dusty skin,across,0.8443826434668154,0.9885960258543491,0.8347533256316835,0.1538427002226657,0.0008999999999999997
dusty skin,across,0.811388352420181,0.9885960258543491,0.802135300627099,0.1864607252272501,0.005999999999999996
dusty skin,across,0.79584856540896,0.9885960258543491,0.7867727289451829,0.20182329690916626,0.0033999999999999994
dusty skin,across,0.8394545246846974,0.9885960258543491,0.8298814069887435,0.15871461886560567,0.0020999999999999986
dusty skin,across,0.8335468538571149,0.9885960258543491,0.8240411070865398,0.1645549187678094,0.0021999999999999997
dusty skin,across,0.8266731409821659,0.9885960258543491,0.8172457818555013,0.17135024399884782,0.0011999999999999988
dusty skin,across,0.7653774784412235,0.9885960258543491,0.7566491334654163,0.2319468923889328,0.0008
dusty skin,across,0.825016517424956,0.9885960258543491,0.8156080503905069,0.1729879754638423,0.0024
dusty skin,across,0.789300937205553,0.9885960258543491,0.780299769724523,0.20829625612982622,0.0016999999999999997
dusty skin,across,0.7878538547083735,0.9885960258543491,0.7788691897187279,0.20972683613562126,0.004000000000000003
dusty skin,across,0.8140840351115912,0.9885960258543491,0.8048002418227915,0.18379578403155764,0.0020999999999999986
dusty skin,across,0.8139732391573489,0.9885960258543491,0.8046907093827468,0.18390531647160235,0.0025000000000000005
dusty skin,across,0.8259913583751768,0.9885960258543491,0.8165717742797353,0.1720242515746139,0.0011999999999999988
dusty skin,across,0.7357307022903115,0.9885960258543491,0.7273404483832312,0.26125557747111794,0.0027000000000000006
dusty skin,across,0.8700656660366803,0.9885960258543491,0.8601434596761796,0.1284525661781696,0.003900000000000001
dusty skin,across,0.7554210543166846,0.9885960258543491,0.7468062521441768,0.24178977371017232,0.0021999999999999997
dusty skin,across,0.8392465496435761,0.9885960258543491,0.8296758036896141,0.15892022216473503,0.002999999999999998
dusty skin,across,0.8064117503818125,0.9885960258543491,0.7972154516297092,0.19138057422463994,0.0012999999999999993
dusty skin,across,0.8304013533052057,0.9885960258543491,0.8209314777415997,0.1676645481127495,0.003700000000000001
dusty skin,across,0.8174780390691012,0.9885960258543491,0.8081555406469199,0.1804404852074293,0.001899999999999999
dusty skin,across,0.7351198657415807,0.9885960258543491,0.7267365777987094,0.2618594480556397,0.00019999999999999985
dusty skin,across,0.8218462488148361,0.9885960258543491,0.8124739354416516,0.17612209041269752,0.0006999999999999997
dusty skin,across,0.7776812873780727,0.9885960258543491,0.7688126300832567,0.2197833957710924,0.0004999999999999998
dusty skin,across,0.8049482200294733,0.9885960258543491,0.7957686113396695,0.19282741451467963,0.004699999999999999
dusty skin,across,0.811480809468776,0.9885960258543491,0.8022267032979022,0.1863693225564469,0.0025000000000000005
dusty skin,across,0.8279917838517576,0.9885960258543491,0.8185493869559008,0.17004663889844826,0.006499999999999999
dusty skin,across,0.8347690552473068,0.9885960258543491,0.8252493705236772,0.163346655330672,0.0010999999999999998
