Category,Measure,g,d,a,b,Probability
fungus-covered fur,within,0.8440488926135004,0.9868422290310264,0.8329430905978761,0.15389913843315026,0.0032
fungus-covered fur,within,0.828979245852679,0.9868422290310264,0.818071726797717,0.1687705022333094,0.0010999999999999998
fungus-covered fur,within,0.7647938425652683,0.9868422290310264,0.7547308603463132,0.23211136868471316,0.0023000000000000004
fungus-covered fur,within,0.863726623589173,0.9868422290310264,0.8523619064961817,0.13448032253484465,0.0001000000000000001
fungus-covered fur,within,0.8450872274115682,0.9868422290310264,0.8339677632244819,0.15287446580654454,0.0015000000000000002
fungus-covered fur,within,0.7666642630938441,0.9868422290310264,0.7565766703099583,0.23026555872106805,0.0014000000000000006
fungus-covered fur,within,0.793814430013299,0.9868422290310264,0.7833696015513176,0.2034726274797087,0.0016
fungus-covered fur,within,0.7536399872042239,0.9868422290310264,0.7437237648595305,0.24311846417149588,0.0010999999999999998
fungus-covered fur,within,0.743501266464591,0.9868422290310264,0.7337184470853081,0.2531237819457183,0.004199999999999997
fungus-covered fur,within,0.8103409714531153,0.9868422290310264,0.7996786905439597,0.1871635384870667,0.0004
fungus-covered fur,within,0.8019571027252823,0.9868422290310264,0.7914051348406814,0.19543709419034497,0.0005999999999999994
fungus-covered fur,within,0.7107694272417575,0.9868422290310264,0.7014172859063619,0.2854249431246645,0.0016999999999999997
fungus-covered fur,within,0.7667264367919415,0.9868422290310264,0.7566380259407759,0.23020420309025044,0.0008999999999999997
fungus-covered fur,within,0.8073173793964088,0.9868422290310264,0.7966948822190388,0.1901473468119875,0.002999999999999998
fungus-covered fur,within,0.7456080897245556,0.9868422290310264,0.735797549247346,0.2510446797836804,0.0016999999999999997
fungus-covered fur,within,0.7736987813841552,0.9868422290310264,0.7635186300197284,0.22332359901129792,0.0001000000000000001
fungus-covered fur,within,0.756211862899363,0.9868422290310264,0.7462618004033124,0.24058042862771403,0.0001000000000000001
fungus-covered fur,within,0.7808327849488705,0.9868422290310264,0.7705587659994475,0.21628346303157892,0.00019999999999999985
fungus-covered fur,within,0.8114893608726561,0.9868422290310264,0.8008119697185349,0.18603025931249145,0.0023000000000000004
fungus-covered fur,within,0.7757132751867175,0.9868422290310264,0.7655066175742182,0.2213356114568081,0.0004
fungus-covered fur,within,0.7135455901734531,0.9868422290310264,0.7041569207220296,0.2826853083089967,0.0004
fungus-covered fur,within,0.8212932990863919,0.9868422290310264,0.8104869099586605,0.17635531907236596,0.0010999999999999998
fungus-covered fur,within,0.8205748000182211,0.9868422290310264,0.80977786473667,0.17706436429435632,0.00030000000000000024
fungus-covered fur,within,0.766702409600839,0.9868422290310264,0.7566143148939509,0.23022791413707538,0.0025999999999999986
fungus-covered fur,within,0.786184519296512,0.9868422290310264,0.7758400834522559,0.2110021455787705,0.003099999999999999
fungus-covered fur,within,0.7735275884624571,0.9868422290310264,0.7633496896152856,0.2234925394157408,0.00019999999999999985
fungus-covered fur,within,0.7437261319719255,0.9868422290310264,0.7339403538637982,0.2529018751672281,0.0009999999999999996
fungus-covered fur,within,0.741372681222856,0.9868422290310264,0.7316178692806719,0.25522435975035457,0.003099999999999999
fungus-covered fur,within,0.8460711257066578,0.9868422290310264,0.8349387156111479,0.1519035134198785,0.00019999999999999985
fungus-covered fur,within,0.7680115473922342,0.9868422290310264,0.7579062273501201,0.22893600168090622,0.00030000000000000024
fungus-covered fur,within,0.7587275360710919,0.9868422290310264,0.7487443729236147,0.23809785610741158,0.002999999999999998
fungus-covered fur,within,0.8011002752464265,0.9868422290310264,0.7905595813015522,0.19628264772947412,0.0010999999999999998
fungus-covered fur,within,0.7963214335031807,0.9868422290310264,0.7858436184634611,0.20099861056756524,0.00030000000000000024
fungus-covered fur,within,0.7422298858873546,0.9868422290310264,0.7324637950425213,0.254378433988505,0.0008
fungus-covered fur,within,0.722931353142485,0.9868422290310264,0.713419187971546,0.27342304105948034,0.0008999999999999997
fungus-covered fur,within,0.7258316131774336,0.9868422290310264,0.7162812870492042,0.27056094198182207,0.0028999999999999994
fungus-covered fur,within,0.8573587262071669,0.9868422290310264,0.846077796449482,0.14076443258154434,0.0021999999999999997
fungus-covered fur,within,0.7457552258856595,0.9868422290310264,0.7359427494245407,0.2508994796064856,0.003799999999999998
fungus-covered fur,within,0.8647946317214519,0.9868422290310264,0.8534158620220631,0.13342636700896326,0.0009999999999999996
fungus-covered fur,within,0.8476266693323851,0.9868422290310264,0.8364737917501156,0.15036843728091076,0.0025999999999999986
fungus-covered fur,within,0.8683358281850815,0.9868422290310264,0.8569104642336681,0.12993176479735824,0.0004999999999999998
fungus-covered fur,within,0.8083738989662379,0.9868422290310264,0.7977375003463439,0.18910472868468245,0.0008999999999999997
fungus-covered fur,within,0.781328794080764,0.9868422290310264,0.771048248756785,0.21579398027424138,0.0016999999999999997
fungus-covered fur,within,0.7956720895599574,0.9868422290310264,0.7852028184391228,0.20163941059190357,0.005299999999999995
fungus-covered fur,within,0.7936880423221737,0.9868422290310264,0.7832448768404855,0.20359735219054087,0.0004999999999999998
fungus-covered fur,within,0.7924303615000099,0.9868422290310264,0.7820037442945318,0.20483848473649457,0.0027000000000000006
fungus-covered fur,within,0.775626321323216,0.9868422290310264,0.7654208078297375,0.22142142120128883,0.004199999999999997
fungus-covered fur,within,0.8262784648686647,0.9868422290310264,0.8154064820713277,0.17143574695969865,0.00030000000000000024
fungus-covered fur,within,0.774668593192473,0.9868422290310264,0.7644756812663894,0.22236654776463688,0.004300000000000002
fungus-covered fur,within,0.7399023829493672,0.9868422290310264,0.7301669168551216,0.2566753121759048,0.0021999999999999997
fungus-covered fur,within,0.8187719278503209,0.9868422290310264,0.8079987143478414,0.17884351468318496,0.0010999999999999998
fungus-covered fur,within,0.863896164810285,0.9868422290310264,0.8525292169327365,0.13431301209828983,0.00019999999999999985
fungus-covered fur,within,0.8261759399902076,0.9868422290310264,0.8153053061917399,0.17153692283928648,0.0005999999999999994
fungus-covered fur,within,0.8454290912486613,0.9868422290310264,0.8343051288955039,0.1525371001355225,0.0010999999999999998
fungus-covered fur,within,0.7396822921000421,0.9868422290310264,0.7299497219107843,0.2568925071202421,0.0006999999999999997
fungus-covered fur,within,0.8109056462999433,0.9868422290310264,0.8002359355284812,0.18660629350254523,0.00019999999999999985
fungus-covered fur,within,0.803190085105598,0.9868422290310264,0.7926218939212281,0.1942203351097983,0.003900000000000001
fungus-covered fur,within,0.7522158371284604,0.9868422290310264,0.7423183534242893,0.24452387560673702,0.0004
fungus-covered fur,within,0.8339738084468991,0.9868422290310264,0.8230005720812321,0.1638416569497943,0.0024
fungus-covered fur,within,0.7784164929762483,0.9868422290310264,0.7681742670431951,0.21866796198783126,0.0011999999999999988
fungus-covered fur,within,0.7508719025645405,0.9868422290310264,0.7409921020435588,0.24585012698746758,0.0008999999999999997
fungus-covered fur,within,0.7812675000168383,0.9868422290310264,0.7709877611861141,0.21585446784491222,0.0005999999999999994
fungus-covered fur,within,0.8010755919385701,0.9868422290310264,0.7905352227710074,0.1963070062600189,0.0015000000000000002
fungus-covered fur,within,0.7935525719076395,0.9868422290310264,0.7831111889146388,0.20373104011638757,0.0001000000000000001
fungus-covered fur,within,0.7932003114838153,0.9868422290310264,0.7827635634527927,0.20407866557823365,0.0005999999999999994
fungus-covered fur,within,0.7513823197223246,0.9868422290310264,0.7414958032492821,0.24534642578174423,0.0004999999999999998
fungus-covered fur,within,0.7695510841440409,0.9868422290310264,0.7594255072299483,0.22741672180107808,0.0005999999999999994
fungus-covered fur,within,0.6682207933627069,0.9868422290310264,0.6594284972069345,0.32741373182409184,0.0005999999999999994
