Category,Measure,g,d,a,b,Probability
small ears,across,0.737668614834547,0.9658464463427663,0.712474610216538,0.2533718361262282,0.0020000000000000013
small ears,across,0.7960114013403654,0.9658464463427663,0.7688247832329175,0.19702166310984884,0.0008999999999999997
small ears,across,0.7073986297473311,0.9658464463427663,0.683238452689202,0.2826079936535642,0.00019999999999999985
small ears,across,0.7703736028634012,0.9658464463427663,0.7440626066818895,0.22178383966087675,0.0017999999999999993
small ears,across,0.7532488575670868,0.9658464463427663,0.7275227322929193,0.23832371404984695,0.0021999999999999997
small ears,across,0.7591984167229384,0.9658464463427663,0.7332690928609047,0.23257735348186162,0.0014000000000000006
small ears,across,0.7362829574849457,0.9658464463427663,0.7111362779895768,0.25471016835318944,0.00019999999999999985
small ears,across,0.755232585594058,0.9658464463427663,0.72943870895828,0.23640773738448626,0.0004999999999999998
small ears,across,0.7501238975673914,0.9658464463427663,0.7245045007822503,0.24134194556051608,0.0016
small ears,across,0.7629426997154951,0.9658464463427663,0.7368854952833672,0.2289609510593991,0.0011999999999999988
small ears,across,0.7270246767438948,0.9658464463427663,0.7021942004365892,0.2636522459061771,0.0004999999999999998
small ears,across,0.721123231574893,0.9658464463427663,0.6964943105918221,0.2693521357509442,0.0027000000000000006
small ears,across,0.8022414126899093,0.9658464463427663,0.7748420175555495,0.19100442878721674,0.0001000000000000001
small ears,across,0.7403556744102389,0.9658464463427663,0.7150698971588313,0.250776549183935,0.0004999999999999998
small ears,across,0.7189386559184641,0.9658464463427663,0.6943843459572934,0.27146210038547297,0.003499999999999999
small ears,across,0.6606803741306067,0.9658464463427663,0.6381157915224557,0.32773065482031055,0.0004
small ears,across,0.7687914713751525,0.9658464463427663,0.7425345106063176,0.22331193573644875,0.0020000000000000013
small ears,across,0.8061185053084046,0.9658464463427663,0.7785866936832649,0.18725975265950134,0.0023000000000000004
small ears,across,0.7540363783482462,0.9658464463427663,0.7282833564408232,0.23756308990194308,0.003700000000000001
small ears,across,0.7167302228044719,0.9658464463427663,0.6922513386821583,0.273595107660608,0.006399999999999995
small ears,across,0.7133991646114737,0.9658464463427663,0.68903404796389,0.2768123983788763,0.0005999999999999994
small ears,across,0.7071142620407045,0.9658464463427663,0.6829637971503021,0.2828826491924642,0.0032
small ears,across,0.699739444302395,0.9658464463427663,0.6758408556453303,0.29000559069743603,0.0021999999999999997
small ears,across,0.699739444302395,0.9921642253175378,0.6942564436804101,0.29790778163712767,0.0001000000000000001
small ears,across,0.7734004217199981,0.9921642253175378,0.767340230276079,0.22482399504145884,0.0004999999999999998
small ears,across,0.7599810981191695,0.9921642253175378,0.7540260574713774,0.23813816784616032,0.0008999999999999997
small ears,across,0.7394478402566165,0.9921642253175378,0.7336536935909324,0.2585105317266055,0.0005999999999999994
small ears,across,0.7535797033924609,0.9921642253175378,0.747674822631401,0.24448940268613686,0.0025999999999999986
small ears,across,0.8223283246625215,0.9921642253175378,0.8158847451954593,0.17627948012207845,0.0057
small ears,across,0.8202671927865595,0.9921642253175378,0.8138397638844682,0.1783244614330696,0.0004
small ears,across,0.8086578149814159,0.9921642253175378,0.8023213545480092,0.18984287076952852,0.004399999999999999
small ears,across,0.8203294151462615,0.9921642253175378,0.8139014986837794,0.17826272663375844,0.003799999999999998
small ears,across,0.7771487624850124,0.9921642253175378,0.7710591998874256,0.22110502543011226,0.0011999999999999988
small ears,across,0.8441174787003547,0.9921642253175378,0.8375031643317307,0.15466106098580717,0.0006999999999999997
small ears,across,0.787934805965051,0.9921642253175378,0.7817607263610393,0.21040349895649846,0.0011999999999999988
small ears,across,0.8613062435761094,0.9921642253175378,0.8545572419188491,0.13760698339868868,0.0001000000000000001
small ears,across,0.8512335796840489,0.9921642253175378,0.8445635051514989,0.14760072016603884,0.007400000000000002
small ears,across,0.798118163831532,0.9921642253175378,0.7918642897297676,0.20029993558777012,0.00019999999999999985
small ears,across,0.7913101469166577,0.9921642253175378,0.7851096189014727,0.2070546064160651,0.0106
small ears,across,0.836182207101956,0.9921642253175378,0.8296300717336211,0.16253415358391665,0.0004999999999999998
small ears,across,0.7873646169900894,0.9921642253175378,0.7811950052584119,0.21096922005912588,0.006699999999999997
small ears,across,0.8023048646282405,0.9921642253175378,0.7960181844823703,0.19614604083516757,0.0001000000000000001
small ears,across,0.8119078287854791,0.9921642253175378,0.8055459019761889,0.18661832334134884,0.0035999999999999986
small ears,across,0.7864461953286082,0.9921642253175378,0.7802837801421335,0.21188044517540428,0.0006999999999999997
small ears,across,0.7918097258079797,0.9921642253175378,0.7856052832051662,0.2065589421123716,0.0020999999999999986
small ears,across,0.7914079362526536,0.9921642253175378,0.7852066419822654,0.2069575833352724,0.00019999999999999985
small ears,across,0.831735925283283,0.9921642253175378,0.825218629977454,0.16694559534008382,0.004300000000000002
small ears,across,0.8853026342112571,0.9921642253175378,0.8783656022437875,0.11379862307375035,0.0008999999999999997
small ears,across,0.7943974616937339,0.9921642253175378,0.788172742175582,0.20399148314195586,0.00019999999999999985
