Category,Measure,g,d,a,b,Probability
torn tails,across,0.7435582105536014,0.9907035273499787,0.736645741985491,0.25405778536448764,0.0004
torn tails,across,0.7700344168115407,0.9907035273499787,0.7628758129160771,0.22782771443390157,0.003900000000000001
torn tails,across,0.7601912224199623,0.9907035273499787,0.7531241255119488,0.23757940183802984,0.0014000000000000006
torn tails,across,0.7867927812039852,0.9907035273499787,0.7794783836322882,0.21122514371769052,0.0016
torn tails,across,0.8361500604078174,0.9907035273499787,0.8283768142399224,0.16232671311005625,0.002999999999999998
torn tails,across,0.7768562501296401,0.9907035273499787,0.7696342272473118,0.2210693001026669,0.0017999999999999993
torn tails,across,0.7987389627378434,0.9907035273499787,0.7913135078162447,0.19939001953373406,0.0023000000000000004
torn tails,across,0.7937995905522257,0.9907035273499787,0.7864200543690588,0.20428347298091987,0.0006999999999999997
torn tails,across,0.8567526454571635,0.9907035273499787,0.8487878679208375,0.14191565942914117,0.004100000000000001
torn tails,across,0.8467255178838968,0.9907035273499787,0.838853957264814,0.15184957008516464,0.0008999999999999997
torn tails,across,0.8453508636448532,0.9907035273499787,0.8374920824613069,0.15321144488867172,0.0023000000000000004
torn tails,across,0.8337178060319275,0.9907035273499787,0.8259671712503158,0.1647363560996628,0.0057
torn tails,across,0.8389058003667742,0.9907035273499787,0.8311069355377202,0.15959659181225844,0.00030000000000000024
torn tails,across,0.8094274981413037,0.9907035273499787,0.8019026775426579,0.18880084980732084,0.0020999999999999986
torn tails,across,0.8403935011010617,0.9907035273499787,0.83258080590282,0.15812272144715867,0.00030000000000000024
torn tails,across,0.8193827192299068,0.9907035273499787,0.8117653501906859,0.1789381771592928,0.0008
torn tails,across,0.7398892727214843,0.9907035273499787,0.7330109123335848,0.25769261501639384,0.0008
torn tails,across,0.7756501529365778,0.9907035273499787,0.7684393425038181,0.22226418484616065,0.0033999999999999994
torn tails,across,0.8830332213547081,0.9907035273499787,0.8748241271633238,0.11587940018665487,0.003700000000000001
torn tails,across,0.6583554113749415,0.9907035273499787,0.6522350282991007,0.3384684990508779,0.0008999999999999997
torn tails,across,0.8060758956708014,0.9907035273499787,0.7985822331528564,0.19212129419712232,0.00019999999999999985
torn tails,across,0.8052970077842474,0.9907035273499787,0.7978105861762371,0.19289294117374153,0.0014000000000000006
torn tails,across,0.8137397111859173,0.9907035273499787,0.8061748022166412,0.18452872513333754,0.005799999999999999
torn tails,across,0.8099168182816356,0.9907035273499787,0.8023874487316881,0.18831607861829056,0.0005999999999999994
torn tails,across,0.8754351681564003,0.9907035273499787,0.8672967090587675,0.12340681829121115,0.0004
torn tails,across,0.8643160848878324,0.9907035273499787,0.8562809940436992,0.1344225333062795,0.0004
torn tails,across,0.750310349278152,0.9907035273499787,0.7433351096370597,0.24736841771291898,0.0001000000000000001
torn tails,across,0.8792103617452085,0.9907035273499787,0.8710368066636288,0.11966672068634986,0.00030000000000000024
torn tails,across,0.783774150069803,0.9907035273499787,0.7764878151198854,0.2142157122300933,0.0012999999999999993
