Category,Measure,g,d,a,b,Probability
worn-out claws,within,0.8884562917519361,0.999223068356514,0.8877660219450197,0.11145704641149423,0.0014000000000000006
worn-out claws,within,0.8418468383606523,0.999223068356514,0.8411927809129612,0.1580302874435527,0.0023000000000000004
worn-out claws,within,0.8355164704844356,0.999223068356514,0.8348673312998625,0.16435573705665152,0.0004999999999999998
worn-out claws,within,0.8775777549017221,0.999223068356514,0.8768959369743196,0.12232713138219448,0.0028000000000000013
worn-out claws,within,0.885017627151683,0.999223068356514,0.8843300289521059,0.11489303940440806,0.005100000000000003
worn-out claws,within,0.8720018200110644,0.999223068356514,0.8713243342039204,0.12789873415259356,0.003900000000000001
worn-out claws,within,0.8624484634492546,0.999223068356514,0.861778399947125,0.13744466840938896,0.00030000000000000024
worn-out claws,within,0.8936785547994077,0.999223068356514,0.8929842276510792,0.10623884070543477,0.004300000000000002
worn-out claws,within,0.8610837708692998,0.999223068356514,0.8604147676400191,0.13880830071649483,0.005500000000000001
worn-out claws,within,0.8180877410341054,0.999223068356514,0.817452142780948,0.18177092557556596,0.003700000000000001
worn-out claws,within,0.8371037137694657,0.999223068356514,0.8364533414053585,0.16276972695115546,0.0020999999999999986
worn-out claws,within,0.8808424135204405,0.999223068356514,0.8801580591764518,0.11906500918006215,0.0016999999999999997
worn-out claws,within,0.8898140019737184,0.999223068356514,0.889122677318768,0.11010039103774588,0.0015000000000000002
worn-out claws,within,0.8309135348536074,0.999223068356514,0.8302679718353788,0.16895509652113516,0.00030000000000000024
worn-out claws,within,0.858809397323057,0.999223068356514,0.8581421611265536,0.14108090722996036,0.005000000000000001
worn-out claws,within,0.8984068625140935,0.999223068356514,0.8977088617938813,0.10151420656263266,0.0016999999999999997
worn-out claws,within,0.8618454956449568,0.999223068356514,0.8611759006075944,0.13804716774891962,0.004600000000000001
worn-out claws,within,0.883373553166166,0.999223068356514,0.8826872322996925,0.11653583605682151,0.007099999999999997
worn-out claws,within,0.8489619784522802,0.999223068356514,0.8483023930271041,0.1509206753294099,0.0001000000000000001
worn-out claws,within,0.8368419830221683,0.999223068356514,0.8361918140049608,0.16303125435155322,0.0014000000000000006
worn-out claws,within,0.8798099162522703,0.999223068356514,0.8791263640880812,0.12009670426843282,0.005100000000000003
worn-out claws,within,0.8693245747126639,0.999223068356514,0.8686491689421096,0.1305738994144044,0.004300000000000002
worn-out claws,within,0.8625332321971655,0.999223068356514,0.8618631028355133,0.13735996552100074,0.003099999999999999
worn-out claws,within,0.8591117013711482,0.999223068356514,0.8584442303050639,0.1407788380514501,0.011800000000000008
worn-out claws,within,0.7996726064011455,0.999223068356514,0.7990513154488035,0.2001717529077105,0.0011999999999999988
worn-out claws,within,0.8033616954926401,0.999223068356514,0.8027375383702473,0.19648552998626664,0.0015000000000000002
worn-out claws,within,0.8783412526827306,0.999223068356514,0.8776588415697422,0.12156422678677178,0.00019999999999999985
worn-out claws,within,0.8729353351518512,0.999223068356514,0.8722571240672546,0.12696594428925934,0.0009999999999999996
worn-out claws,within,0.8576800811570138,0.999223068356514,0.8570137223619753,0.14220934599453874,0.0035999999999999986
worn-out claws,within,0.8858086529653519,0.999223068356514,0.8851204401927895,0.11410262816372455,0.0004999999999999998
worn-out claws,within,0.8373696464113891,0.999223068356514,0.8367190674357974,0.16250400092071657,0.004000000000000003
worn-out claws,within,0.8387905622366816,0.999223068356514,0.8381388793066225,0.1610841890498915,0.00030000000000000024
worn-out claws,within,0.8643900896422565,0.999223068356514,0.8637185176292977,0.13550455072721626,0.0023000000000000004
worn-out claws,within,0.8814898007549345,0.999223068356514,0.8808049434353179,0.11841812492119613,0.0028000000000000013
worn-out claws,within,0.8578259029891342,0.999223068356514,0.8571594309005,0.14206363745601402,0.003499999999999999
worn-out claws,within,0.8448414485901594,0.999223068356514,0.8441850645350212,0.15503800382149283,0.0005999999999999994
worn-out claws,within,0.8721361805219203,0.999223068356514,0.8714585903258438,0.12776447803067018,0.00030000000000000024
worn-out claws,within,0.8788313325494528,0.999223068356514,0.8781485406779082,0.12107452767860585,0.0025000000000000005
worn-out claws,within,0.8996272364165634,0.999223068356514,0.8989282875492495,0.10029478080726449,0.00030000000000000024
worn-out claws,within,0.8747000296134502,0.999223068356514,0.8740204474818853,0.12520262087462866,0.0028000000000000013
worn-out claws,within,0.8341739454772323,0.999223068356514,0.8335258493428195,0.1656972190136945,0.0008999999999999997
worn-out claws,within,0.841542239766568,0.999223068356514,0.8408884189711632,0.15833464938535077,0.0006999999999999997
worn-out claws,within,0.8868572737555951,0.999223068356514,0.8861682462763586,0.11305482208015535,0.003900000000000001
worn-out claws,within,0.8773520418908447,0.999223068356514,0.8766703993270226,0.12255266902949134,0.0010999999999999998
worn-out claws,within,0.8599307315889746,0.999223068356514,0.8592626241923971,0.13996044416411693,0.00030000000000000024
worn-out claws,within,0.8446792645845562,0.999223068356514,0.8440230065353039,0.15520006182121,0.0008999999999999997
worn-out claws,within,0.8791253743693233,0.999223068356514,0.8784423540473842,0.12078071430912975,0.0035999999999999986
worn-out claws,within,0.8705499432981014,0.999223068356514,0.8698735854999182,0.1293494828565958,0.007800000000000002
worn-out claws,within,0.8649582501966506,0.999223068356514,0.8642862367617785,0.13493683159473543,0.012100000000000005
worn-out claws,within,0.868040113709867,0.999223068356514,0.8673657058777106,0.13185736247880336,0.00030000000000000024
