Property,Category,Prevalence,Probability
attack swimmers,Sharks,0.99,0.20095999999999997
attack swimmers,Sharks,0.9,0.09386000000000001
attack swimmers,Sharks,0.2,0.06504
attack swimmers,Sharks,0,0.22267999999999996
attack swimmers,Sharks,0.4,0.05290000000000001
attack swimmers,Sharks,0.5,0.04469999999999999
attack swimmers,Sharks,0.6,0.04988000000000001
attack swimmers,Sharks,0.1,0.09397999999999995
attack swimmers,Sharks,0.8,0.06423999999999999
attack swimmers,Sharks,0.3,0.05709999999999998
attack swimmers,Sharks,0.7,0.05466000000000001
