Property,Category,Prevalence,Probability
dont have beautiful feathers,Peacocks,0,0.57184
dont have beautiful feathers,Peacocks,0.99,0.05323999999999998
dont have beautiful feathers,Peacocks,0.1,0.10354
dont have beautiful feathers,Peacocks,0.8,0.028039999999999995
dont have beautiful feathers,Peacocks,0.3,0.037099999999999994
dont have beautiful feathers,Peacocks,0.7,0.03
dont have beautiful feathers,Peacocks,0.2,0.051320000000000005
dont have beautiful feathers,Peacocks,0.4,0.032560000000000006
dont have beautiful feathers,Peacocks,0.5,0.027939999999999996
dont have beautiful feathers,Peacocks,0.9,0.03751999999999999
dont have beautiful feathers,Peacocks,0.6,0.026899999999999997
